Day,H1,H2,H3
382,1.228456229,0.99282053,1.21954562
383,1.363559847,1.021173514,1.212561673
384,1.397063927,1.0450149,1.256673833
385,1.40291933,1.051275715,1.26668508
386,1.383770208,1.04316512,1.25623551
387,1.23748826,1.035416036,1.259035855
388,1.208352121,1.040421752,1.249602169
389,1.128950531,1.058005491,1.256688682
390,1.094286286,1.076771799,1.235737034
391,1.147510668,1.083921717,1.211962236
392,1.121111976,1.074000285,1.235582826
393,1.189633021,1.050346091,1.206228842
394,1.137740107,1.021024283,1.182423028
395,1.044060329,0.994950826,1.226132047
396,1.046943166,0.980678468,1.248072286
397,1.018782863,0.985158905,1.287247223
398,1.143317983,1.009648316,1.321641167
399,1.191283127,1.045165909,1.316826771
400,1.163924698,1.073790219,1.348001778
401,1.179037711,1.078506694,1.336846625
402,1.067783524,1.055521271,1.297183957
403,1.022590694,1.018108714,1.324053606
404,0.915310902,0.98675362,1.316545525
405,0.80882882,0.972677879,1.277521096
406,0.878427261,0.96914439,1.261783877
407,0.907522343,0.959078494,1.23540506
408,0.989167993,0.932850233,1.228981024
409,0.964761524,0.900040696,1.215489586
410,0.85652984,0.88365975,1.194227574
411,0.87546324,0.900984651,1.20996668
412,0.856043151,0.947617418,1.194083992
413,0.923925018,0.998886195,1.161421612
414,0.982252304,1.027527682,1.15815763
415,0.999774247,1.022641058,1.166507577
416,1.109154573,0.994691227,1.200116195
417,1.087954933,0.964294845,1.210223192
418,1.034937896,0.946135182,1.216331967
419,0.947623947,0.941490484,1.257791755
420,0.855116215,0.943024994,1.240776835
421,0.931266596,0.944252715,1.216277702
422,0.980682986,0.943989072,1.235486701
423,1.042846463,0.943563443,1.221505338
424,1.076861181,0.942575895,1.21126479
425,1.035050614,0.939187662,1.188948454
426,1.056637495,0.934172457,1.148706123
427,1.023388018,0.932609488,1.163393983
428,1.031314801,0.939531025,1.151652117
429,1.104214045,0.953357919,1.132563513
430,1.171167423,0.964831615,1.175064597
431,1.287083938,0.964318,1.176125118
432,1.303112773,0.951330749,1.153244446
433,1.258050406,0.936567813,1.144132152
434,1.188615018,0.933214159,1.125712273
435,1.080868688,0.944866765,1.142798025
436,1.048038914,0.961478397,1.141796265
437,1.039644258,0.967616161,1.130388468
438,1.074696283,0.95567965,1.168252797
439,1.120656404,0.931953285,1.16497543
440,1.101155542,0.910274408,1.145822053
441,1.071053774,0.89989656,1.160097006
442,1.029242878,0.899190581,1.156803554
443,1.026478083,0.900368261,1.159419436
444,1.062531592,0.899234837,1.129522007
445,1.109164994,0.899446393,1.072569587
446,1.183342869,0.907197673,1.061868841
447,1.248009576,0.922679576,1.022664105
448,1.272886998,0.938038842,0.981445001
449,1.207184402,0.944427755,1.004679677
450,1.09366797,0.940667029,1.016897182
451,1.010947303,0.933874071,1.022661612
452,1.002991502,0.930761561,1.022769216
453,1.057852312,0.92864243,1.013819077
454,1.075159502,0.916438569,1.03760584
455,1.080641554,0.886189866,1.029496774
456,1.076950234,0.844256427,1.008073242
457,1.073219183,0.810303356,1.021171359
458,1.077848144,0.803141354,1.003275207
459,1.02322734,0.825296698,0.982682906
460,1.027064387,0.860262001,0.976332804
461,1.085557256,0.885324291,0.98536417
462,1.153117896,0.888940102,1.041964017
463,1.196728345,0.877862063,1.058282767
464,1.092408629,0.868870716,1.063849939
465,0.99236936,0.873621343,1.115293649
466,0.917599606,0.890106549,1.108941562
467,0.859023442,0.906775118,1.09919446
468,0.863876441,0.913521042,1.126956652
469,0.804984537,0.908902271,1.127144969
470,0.817433666,0.89853714,1.149267849
471,0.848092122,0.888726532,1.146289289
472,0.815450253,0.882580231,1.114307692
473,0.803781375,0.881131785,1.146511147
474,0.707659089,0.88559102,1.14750867
475,0.711719514,0.89637316,1.122231066
476,0.785917878,0.90992328,1.147922001
477,0.818540749,0.918632968,1.140966724
478,0.900992344,0.916493103,1.110582631
479,0.864567772,0.905894608,1.084977082
480,0.851756136,0.897582839,1.060050321
481,0.849087886,0.901334876,1.078157782
482,0.769958359,0.914883703,1.083072241
483,0.798354607,0.922520077,1.076614375
484,0.77716102,0.907191333,1.103526776
485,0.817508607,0.86690248,1.107360048
486,0.893466368,0.820430146,1.101612652
487,0.865242694,0.795506761,1.09814802
488,0.925427658,0.808155372,1.099563164
489,0.907815328,0.85044172,1.126482909
490,0.924841619,0.897103348,1.100604454
491,1.017166446,0.925161945,1.065479694
492,1.041121304,0.929642122,1.080854334
493,1.180680351,0.92282001,1.057568128
494,1.219021709,0.919601928,1.04420166
495,1.210035867,0.923402328,1.064045074
496,1.233993991,0.924818595,1.05732577
497,1.15717935,0.912497172,1.066292702
498,1.198785439,0.88467672,1.040898958
499,1.176322795,0.850838593,0.996776167
500,1.136390097,0.823459209,1.021353647
501,1.193265439,0.808899032,1.017394226
502,1.168662239,0.805537256,1.002633513
503,1.238246335,0.808664468,1.040391011
504,1.226013584,0.815090591,1.052959394
505,1.173871101,0.82246286,1.064632173
506,1.250767509,0.825728858,1.078160532
507,1.267088563,0.817134198,1.084015122
508,1.363064405,0.791979968,1.126665066
509,1.371803857,0.75478866,1.120717853
510,1.303337337,0.718396706,1.078280844
511,1.342999961,0.694974358,1.068227171
512,1.296322811,0.686687753,1.025892032
513,1.301177792,0.685205313,0.984756613
514,1.258304475,0.681125987,0.968862239
515,1.177856251,0.674413236,0.955415268
516,1.24431686,0.675330615,0.977032027
517,1.236580276,0.694353893,0.963282023
518,1.251876226,0.730492313,0.931305806
519,1.231581702,0.769443243,0.955082466
520,1.174624593,0.793804725,0.949494227
521,1.261559693,0.796112806,0.929667098
522,1.278174695,0.782997613,0.934888661
523,1.297693866,0.767548865,0.920717959
524,1.292865982,0.758127203,0.913234322
525,1.233607364,0.754304457,0.890304437
526,1.276917624,0.752353221,0.874978596
527,1.240400418,0.75263057,0.920693959
528,1.202238943,0.759821795,0.941409208
529,1.180422439,0.7755673,0.947925195
530,1.126718798,0.792209849,0.973389236
531,1.160087435,0.796173867,0.970484278
532,1.120281488,0.779572446,0.969857122
533,1.069063384,0.74916902,0.95097375
534,1.045994038,0.723007339,0.934083313
535,1.002322536,0.716447435,0.965566556
536,1.042230901,0.729944682,0.941642832
537,1.04930172,0.749915224,0.906959941
538,1.057337926,0.761922223,0.92818901
539,1.08095199,0.763756075,0.917162496
540,1.051254043,0.766122018,0.921180575
541,1.051793829,0.780522093,0.941547128
542,1.028575323,0.806077805,0.932212497
543,1.021256218,0.827887989,0.952929688
544,1.04073079,0.82853393,0.931624114
545,1.025571064,0.802280804,0.88194729
546,1.026735389,0.759657701,0.906770563
547,1.009403985,0.719433073,0.911205529
548,0.988256556,0.695975292,0.895667156
549,0.962307455,0.692418826,0.915164886
550,0.924675834,0.702962326,0.915289672
551,0.939127427,0.719203751,0.914473817
552,0.998057113,0.733924965,0.902512692
553,1.076012751,0.741158366,0.885340764
554,1.106496411,0.736397913,0.907575993
555,1.090386901,0.719524373,0.898415714
556,1.072315965,0.697481537,0.864802436
557,1.071439723,0.681454374,0.850306287
558,1.089737232,0.678262419,0.831288202
559,1.06913595,0.683173908,0.829233884
560,1.064780773,0.682514633,0.816579847
561,1.087404522,0.666191245,0.812692569
562,1.111461834,0.639729243,0.846615501
563,1.117755647,0.623632251,0.81714782
564,1.034052001,0.638225849,0.776020662
565,0.989486896,0.685911316,0.783610971
566,1.01561998,0.746677536,0.762693776
567,1.084428868,0.792030598,0.760589096
568,1.182470412,0.806290339,0.769933273
569,1.182816374,0.797360453,0.761487943
570,1.198454965,0.788182584,0.797315194
571,1.215703993,0.796932204,0.799555798
572,1.190410821,0.823251465,0.788480027
573,1.188798875,0.85139099,0.846879235
574,1.126552147,0.865634742,0.865759678
575,1.161534447,0.863338507,0.853282032
576,1.253508376,0.854867105,0.854237972
577,1.286185168,0.852666023,0.826937778
578,1.320843044,0.860836952,0.815073751
579,1.238402192,0.874038818,0.795293831
580,1.212281429,0.884379159,0.776875846
581,1.245005108,0.888018128,0.815906127
582,1.245415237,0.885698687,0.819993989
583,1.33796695,0.879231815,0.801417639
584,1.361578387,0.86996196,0.814638551
585,1.417071853,0.86137511,0.811563583
586,1.466385084,0.86143074,0.816531816
587,1.388063321,0.879141512,0.807057582
588,1.378739988,0.916304962,0.78143115
589,1.319041134,0.962239262,0.791380412
590,1.334890666,0.99855564,0.75882767
591,1.426249239,1.01196232,0.71827149
592,1.423876676,1.004508101,0.744626384
593,1.488467864,0.99170622,0.763835083
594,1.433014903,0.989566645,0.785013423
595,1.347468952,1.001831685,0.808461951
596,1.313352873,1.01856726,0.813430612
597,1.216032681,1.026618807,0.838046911
598,1.275000165,1.021547819,0.826158929
599,1.296513354,1.010019354,0.805970211
600,1.299310209,1.001518827,0.834175952
601,1.343831251,0.998644628,0.829321879
602,1.25192408,0.995804002,0.810604799
603,1.233351276,0.986821149,0.801367224
604,1.144446903,0.972657888,0.788750112
605,1.052358171,0.960757773,0.81273143
606,1.108494832,0.956875861,0.810022356
607,1.112185545,0.958596955,0.804820135
608,1.199285659,0.958103092,0.848375923
609,1.176655923,0.951695605,0.829390857
610,1.057385715,0.945727015,0.7961676
611,1.040247479,0.951597289,0.807395136
612,0.963114307,0.97376822,0.799545464
613,1.002163759,1.002845513,0.82186977
614,1.033599406,1.021872964,0.839982598
615,1.039338252,1.021250991,0.832717781
616,1.171192291,1.008547074,0.8764422
617,1.177553332,1.003311706,0.880969328
618,1.169856011,1.020688154,0.857972006
619,1.089976734,1.058192965,0.896168265
620,0.974564131,1.097402361,0.907628353
621,1.049004711,1.11888954,0.891040838
622,1.09036855,1.117223577,0.875901863
623,1.165412004,1.103633719,0.845948265
624,1.198640422,1.095571087,0.840562397
625,1.143137279,1.10346447,0.821971124
626,1.180511826,1.125594377,0.800828738
627,1.122746919,1.153040622,0.820061976
628,1.086245753,1.177775979,0.811160729
629,1.100485481,1.196393611,0.78196639
630,1.119539108,1.208542551,0.754342173
631,1.263985192,1.214746858,0.732581572
632,1.299316812,1.21704966,0.745160737
633,1.268759477,1.220408421,0.726568021
634,1.216460663,1.230443326,0.713646611
635,1.120737964,1.247475417,0.752440274
