	Unnamed: 0	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	delmassflux	reldelmassflux	normmassflux	Time	fraction	relbase	normmassflux_fraction
98	98	39	0.1	10	Original	Slow	0	Ammonium	-0.006787656391523782	19.791044914638306	0.802089550853617	202.5	0.9878048780487804	0.802089550853617	1.0
99	99	39	0.1	10	Original	Slow	0	Nitrate	-0.10662650496648432	74.61485356923407	0.2538514643076593	202.5	0.9878048780487804	0.2538514643076593	1.0
100	100	39	0.1	10	Original	Slow	0	Sulphate	-5.747234355091279e-09	6.702977681581145e-07	0.9999999932970225	202.5	0.9878048780487804	0.9999999932970225	1.0
101	101	39	0.1	10	Original	Slow	0	Particulate organic matter	0.0019446106115485649	-68.03975994312245	1.6803975994312244	202.5	0.9878048780487804	1.6803975994312244	1.0
102	102	39	0.1	10	Original	Slow	0	Nitrogen	-0.10170736139164432	56.956263161378935	0.43043736838621055	202.5	0.9878048780487804	0.43043736838621055	1.0
103	103	39	0.1	10	Original	Slow	0	TOC	-0.1537322093251714	32.639070515887816	0.6736092948411218	202.5	0.9878048780487804	0.6736092948411218	1.0
104	104	39	0.1	10	Original	Slow	2	DOC	-296.30797827214064	59.17205233336207	0.4082794766663794	202.5	0.9878048780487804	0.4078126392398512	1.001144735061175
105	105	39	0.1	10	Original	Slow	2	DO	-155.8153076040042	99.57111883004521	0.004288811699547891	202.5	0.9878048780487804	0.004276857424999815	1.0027951070985437
106	106	39	0.1	10	Original	Slow	2	Ammonium	-7.32632012472299	19.507333793216013	0.8049266620678399	202.5	0.9878048780487804	0.802089550853617	1.003537150198757
107	107	39	0.1	10	Original	Slow	2	Nitrate	-116.46556250361563	74.42533433959959	0.25574665660400414	202.5	0.9878048780487804	0.2538514643076593	1.007465752862658
108	108	39	0.1	10	Original	Slow	2	Sulphate	-6.943982043594588e-06	7.395722451241879e-07	0.9999999926042775	202.5	0.9878048780487804	0.9999999932970225	0.999999999307255
109	109	39	0.1	10	Original	Slow	2	Particulate organic matter	2.115156912882593	-67.58275023018726	1.6758275023018727	202.5	0.9878048780487804	1.6803975994312244	0.9972803477397858
110	110	39	0.1	10	Original	Slow	2	Nitrogen	-110.77018899217572	56.64676927644712	0.4335323072355288	202.5	0.9878048780487804	0.43043736838621055	1.0071902187789172
111	111	39	0.1	10	Original	Slow	2	TOC	-166.09104191051154	32.201957477405145	0.6779804252259487	202.5	0.9878048780487804	0.6736092948411218	1.0064891182742037
112	112	39	0.1	10	Original	Slow	5	DOC	-295.99228908257555	59.136599843133716	0.40863400156866275	202.5	0.9878048780487804	0.4078126392398512	1.0020140678580793
113	113	39	0.1	10	Original	Slow	5	DO	-155.7408888435649	99.57001678714931	0.004299832128506724	202.5	0.9878048780487804	0.004276857424999815	1.0053718656536488
114	114	39	0.1	10	Original	Slow	5	Ammonium	-7.309482081434978	19.47158458080806	0.8052841541919196	202.5	0.9878048780487804	0.802089550853617	1.0039828512101956
115	115	39	0.1	10	Original	Slow	5	Nitrate	-116.19300466735928	74.28581865163997	0.25714181348360027	202.5	0.9878048780487804	0.2538514643076593	1.012961710443211
116	116	39	0.1	10	Original	Slow	5	Sulphate	-7.325400133595394e-06	7.805595345905173e-07	0.9999999921944046	202.5	0.9878048780487804	0.9999999932970225	0.9999999988973821
117	117	39	0.1	10	Original	Slow	5	Particulate organic matter	2.121253287759955	-67.8091755608922	1.678091755608922	202.5	0.9878048780487804	1.6803975994312244	0.9986277986691466
118	118	39	0.1	10	Original	Slow	5	Nitrogen	-110.26904202368776	56.41680875732029	0.43583191242679714	202.5	0.9878048780487804	0.43043736838621055	1.0125327037957037
119	119	39	0.1	10	Original	Slow	5	TOC	-163.65784183151078	31.745015843192743	0.6825498415680725	202.5	0.9878048780487804	0.6736092948411218	1.01327260000036
120	120	39	0.1	10	Original	Slow	1	DOC	-296.14800422474207	59.20137843433743	0.40798621565662574	202.5	0.9878048780487804	0.4078126392398512	1.0004256278498334
121	121	39	0.1	10	Original	Slow	1	DO	-155.65542733819274	99.5720056485132	0.0042799435148679005	202.5	0.9878048780487804	0.004276857424999815	1.0007215788513422
122	122	39	0.1	10	Original	Slow	1	Ammonium	-7.322003007092582	19.516037690005323	0.8048396230999468	202.5	0.9878048780487804	0.802089550853617	1.0034286349241217
123	123	39	0.1	10	Original	Slow	1	Nitrate	-116.446264129473	74.49009821197006	0.2550990178802993	202.5	0.9878048780487804	0.2538514643076593	1.0049145021717425
124	124	39	0.1	10	Original	Slow	1	Sulphate	-6.639810067099462e-06	7.079089336536311e-07	0.9999999929209109	202.5	0.9878048780487804	0.9999999932970225	0.9999999996238884
125	125	39	0.1	10	Original	Slow	1	Particulate organic matter	2.139737547418989	-68.43897537058835	1.6843897537058834	202.5	0.9878048780487804	1.6803975994312244	1.002375720053403
126	126	39	0.1	10	Original	Slow	1	Nitrogen	-110.82596862748699	56.734013305060216	0.4326598669493977	202.5	0.9878048780487804	0.43043736838621055	1.0051633494822247
127	127	39	0.1	10	Original	Slow	1	TOC	-166.72501913395615	32.35836428222052	0.6764163571777947	202.5	0.9878048780487804	0.6736092948411218	1.0041671965606338
128	128	40	1.0	2	Original	Slow	0	DOC	-0.2660356066783919	59.12047212208843	0.4087952787791156	167.5	0.8170731707317073	0.4087952787791156	1.0
129	129	40	1.0	2	Original	Slow	0	DO	-0.14001131833849034	99.56604345960908	0.004339565403909521	167.5	0.8170731707317073	0.004339565403909521	1.0
