	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	Delay	Memory	Crosscorrelation	fraction	Time
122	38	0.1	5	Original	Slow	2	Immobile inactive sulphate reducers	370	330	0.8452556522769166	1.0	205.0
123	38	0.1	5	Original	Slow	2	Immobile inactive ammonia oxidizers	945	0	0.6607259278188675	1.0	205.0
124	38	0.1	5	Original	Slow	2	Mobile inactive aerobic degraders	160	0	-0.8792657675965134	1.0	205.0
125	38	0.1	5	Original	Slow	2	Mobile inactive nitrate reducers	150	0	-0.8794540404526947	1.0	205.0
126	38	0.1	5	Original	Slow	2	Mobile inactive sulphate reducers	45	0	-0.6606903927485283	1.0	205.0
127	38	0.1	5	Original	Slow	2	Mobile inactive ammonia oxidizers	20	0	-0.8019425440975039	1.0	205.0
128	38	0.1	5	Original	Slow	5	Immobile active aerobic degraders	0	205	0.9822813714258235	1.0	205.0
129	38	0.1	5	Original	Slow	5	Immobile active nitrate reducers	25	240	0.9858672659504746	1.0	205.0
130	38	0.1	5	Original	Slow	5	Immobile active sulphate reducers	395	140	0.7293546930271377	1.0	205.0
131	38	0.1	5	Original	Slow	5	Immobile active ammonia oxidizers	30	250	0.9647112501012789	1.0	205.0
132	38	0.1	5	Original	Slow	5	Mobile active aerobic degraders	15	0	-0.7474595249635986	1.0	205.0
133	38	0.1	5	Original	Slow	5	Mobile active nitrate reducers	195	0	-0.7399063445998976	1.0	205.0
134	38	0.1	5	Original	Slow	5	Mobile active sulphate reducers	0	160	0.9866337688412378	1.0	205.0
135	38	0.1	5	Original	Slow	5	Mobile active ammonia oxidizers	15	175	0.8813145886649337	1.0	205.0
136	38	0.1	5	Original	Slow	5	Immobile inactive aerobic degraders	155	0	-0.9099119389257143	1.0	205.0
137	38	0.1	5	Original	Slow	5	Immobile inactive nitrate reducers	10	0	-0.8756237304261412	1.0	205.0
138	38	0.1	5	Original	Slow	5	Immobile inactive sulphate reducers	275	325	0.853127489040417	1.0	205.0
139	38	0.1	5	Original	Slow	5	Immobile inactive ammonia oxidizers	645	0	0.48677605112695177	1.0	205.0
